카드ID,카드이름,사용 유닛,레어도,타입,속도,사용ID,소모스태미나,대미지,x이동량,y이동량,범위ID,효과,주는 피해 증가량,받는 피해 감소량,받는 피해 증가량,스태미나 회복량,카드사용시간
505,impactor_5,5,1,3,3,0,35,300,0,0,1018,0,0,0,0,0,7
506,impactor_6,5,1,4,4,0,30,250,0,0,1009,2,0,0,0,0,7
507,impactor_7,5,2,1,1,1,10,0,0,0,1001,0,10,0,0,0,1.5
508,impactor_8,5,2,2,2,1,0,0,2,0,1001,0,0,0,0,0,1.5
509,impactor_9,5,2,2,2,0,0,0,1,1,1001,0,0,0,0,0,1.5
510,impactor_10,5,2,3,3,0,20,25,0,0,1014,0,0,0,0,0,7
511,impactor_11,5,2,3,3,0,25,25,0,0,1010,0,0,0,0,0,7
512,impactor_12,5,2,3,3,1,35,40,0,0,1019,0,0,0,0,0,7
513,impactor_13,5,2,3,3,1,50,70,0,0,1016,0,0,0,0,0,7
514,impactor_14,5,2,4,4,1,10,0,1,0,1001,0,5,0,0,0,3
515,impactor_15,5,2,4,4,0,25,30,0,0,1002,2,0,0,0,0,7
516,impactor_16,5,2,4,4,1,30,20,0,0,1012,2,0,0,0,0,7
601,cleaver_1,6,1,1,1,0,0,0,0,0,1001,0,0,0,0,20,1.5
602,cleaver_2,6,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
603,cleaver_3,6,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
604,cleaver_4,6,1,3,3,0,0,100,0,0,1009,0,0,0,0,0,7
605,cleaver_5,6,1,3,3,0,30,200,0,0,1004,0,0,0,0,0,7
606,cleaver_6,6,1,3,3,0,30,250,0,0,1020,0,0,0,0,0,7
607,cleaver_7,6,2,1,1,0,10,0,0,0,1001,0,10,0,0,0,1.5
608,cleaver_8,6,2,1,1,1,10,0,0,0,1001,0,0,20,0,0,1.5
609,cleaver_9,6,2,2,2,0,0,0,2,0,1001,0,0,0,0,0,1.5
610,cleaver_10,6,2,2,2,1,0,0,1,1,1001,0,0,0,0,0,1.5
611,cleaver_11,6,2,3,3,0,35,20,0,0,1011,0,0,0,0,0,7
612,cleaver_12,6,2,3,3,0,30,15,0,0,1021,0,0,0,0,0,7
613,cleaver_13,6,2,3,3,1,25,15,0,0,1022,0,0,0,0,0,7
614,cleaver_14,6,2,3,3,1,30,20,0,0,1023,0,0,0,0,0,7
615,cleaver_15,6,2,3,3,1,25,35,0,0,1024,0,0,0,0,0,7
616,cleaver_16,6,2,4,4,1,15,10,1,0,1005,0,0,0,0,0,8.5
